Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris
Métro,LA MOTTE-PICQUET-GRENELLE,7959759,6,8,10,,,Paris,15
Métro,MARCEL SEMBAT,5958354,9,,,,,Boulogne Billancourt,
Métro,CORENTIN CELTON,3715160,12,,,,,Issy Les Moulineaux,
Métro,PORTE DE CHARENTON,2262053,8,,,,,Paris,12
Métro,RUE DE LA POMPE,3241496,9,,,,,Paris,16
Métro,MAISONS-ALFORT-STADE,2465520,8,,,,,Maisons -Alfort,
RER,CHAMPIGNY,3597213,A,,,,,Saint-Maur des Fossés,
RER,LA DEFENSE(RER),33822933,A,,,,,Puteaux,
RER,MASSY-PALAISEAU,9496594,B,,,,,Massy,
RER,PARC DE SCEAUX,613248,B,,,,,Antony,
Métro,MONTPARNASSE-BIENVENUE,30646580,4,6,12,13,,Paris,14
Métro,QUAI DE LA GARE,3252321,6,,,,,Paris,13
Métro,TRINITE-D'ESTIENNE D'ORVES,2133878,12,,,,,Paris,9
Métro,TEMPLE,1258217,3,,,,,Paris,2
RER,RUEIL-MALMAISON,7052357,A,,,,,Rueil-Malmaison,
Métro,LEDRU-ROLLIN,3977633,8,,,,,Paris,12
Métro,GUY MOQUET,4593098,13,,,,,Paris,17
Métro,ALESIA,5113245,4,,,,,Paris,14
Métro,FORT D'AUBERVILLIERS,4165208,7,,,,,Aubervilliers,
Métro,LOUIS BLANC,2439575,7,7bis,,,,Paris,10
Métro,VILLEJUIF-LOUIS ARAGON,7479307,7,,,,,Villejuif,
Métro,SAINT-PLACIDE,3376988,4,,,,,Paris,6
Métro,SAINT-MAUR,3065770,3,,,,,Paris,11
Métro,ETIENNE MARCEL,2907953,4,,,,,Paris,1
Métro,SAINT-JACQUES,2324865,6,,,,,Paris,13
Métro,LES AGNETTES,2448699,13,,,,,Asnières sur Seine,
RER,FONTENAY-SOUS-BOIS,2729214,A,,,,,Fontenay-sous-Bois,
Métro,PORTE DES LILAS,3868367,3bis,11,,,,Paris,20
Métro,PORTE DE CLICHY,4410686,13,,,,,Paris,17
Métro,RICHELIEU-DROUOT,5340869,8,9,,,,Paris,9
Métro,PERE LACHAISE,4882748,2,3,,,,Paris,20
Métro,PORTE DE MONTREUIL,4735534,9,,,,,Paris,20
Métro,CHATEAU ROUGE,7053570,4,,,,,Paris,18
RER,GARE DU NORD(RER),42502942,B,,,,,Paris,10
Métro,SEGUR,1605135,10,,,,,Paris,15
Métro,PLACE D'ITALIE,11508361,5,6,7,,,Paris,13
RER,LA VARENNE-CHENNEVIERES,1976634,A,,,,,saint-Maur des Fossés,
RER,BURES-SUR-YVETTE,726989,B,,,,,Bures sur Yvette,
Métro,ODEON,5905175,4,10,,,,Paris,6
Métro,MAIRIE DE SAINT-OUEN,4641862,13,,,,,Saint Ouen,
Métro,LA TOUR-MAUBOURG,2218166,8,,,,,Paris,7
Métro,RUE DU BAC,2389323,12,,,,,Paris,7
Métro,BALARD,6028656,8,,,,,Paris,15
Métro,JACQUES BONSERGENT,2596218,5,,,,,Paris,10
